gene,model,rand,pat,inflation,moran_i,dataset
AC012360.3,pca_ridge,0.01959782393244472,0.006048414823344501,0.013549409109100217,0.0002651854541443,dlpfc
AC012360.3,spatial_knn,-0.00556735861704654,0.011009139378947699,-0.01657649799599424,0.0002651854541443,dlpfc
AC025164.1,pca_ridge,-0.0008287400078554,0.00018102391550003333,-0.0010097639233554335,0.0012779808720425,dlpfc
AC025164.1,spatial_knn,-0.005782383004052411,-0.0024857213722975,-0.0032966616317549107,0.0012779808720425,dlpfc
AC025682.1,pca_ridge,0.0007731263992055701,0.0007395649573636,3.3561441841970115e-05,-0.0009395944692708,dlpfc
AC025682.1,spatial_knn,-0.00220808488867464,-0.0007747113832694666,-0.0014333735054051734,-0.0009395944692708,dlpfc
AC040162.1,pca_ridge,-0.0014910526540871903,0.0029065048146444,-0.00439755746873159,0.0006609288364567,dlpfc
AC040162.1,spatial_knn,0.00742277028437148,0.0019372571559364334,0.0054855131284350465,0.0006609288364567,dlpfc
AL078639.1,pca_ridge,0.06445659382631443,0.0562464606753654,0.008210133150949026,0.05095107733645,dlpfc
AL078639.1,spatial_knn,0.08407647848548086,0.06977442468674207,0.014302053798738792,0.05095107733645,dlpfc
ALB,pca_ridge,0.03337384406375412,0.0145751665508079,0.01879867751294622,0.1692594156874373,dlpfc
ALB,spatial_knn,0.24593897166717021,0.2685245136059642,-0.022585541938793974,0.1692594156874373,dlpfc
ALKAL1,pca_ridge,-0.00521666781482402,-0.007116508078670966,0.0018998402638469459,-0.0007630089660845,dlpfc
ALKAL1,spatial_knn,0.0005749170919985101,0.0034999201500201336,-0.0029250030580216233,-0.0007630089660845,dlpfc
AP001360.1,pca_ridge,0.00013153050196625034,-0.006040643430122499,0.0061721739320887495,-0.0008103857739952,dlpfc
AP001360.1,spatial_knn,-0.00238736423285987,-0.002584862928311367,0.00019749869545149668,-0.0008103857739952,dlpfc
APLNR,pca_ridge,0.14858869978879585,0.09600066248522654,0.05258803730356931,0.0418872233152579,dlpfc
APLNR,spatial_knn,0.036414330413201114,0.011547928778145101,0.02486640163505601,0.0418872233152579,dlpfc
APOBEC3F,pca_ridge,0.017113615900264532,0.011767661905926067,0.0053459539943384645,-0.0018459009243133,dlpfc
APOBEC3F,spatial_knn,-0.0006119767848478601,0.002794144323646433,-0.003406121108494293,-0.0018459009243133,dlpfc
ASPN,pca_ridge,0.03916605206214176,0.029624148342522832,0.009541903719618924,0.0037178249774111,dlpfc
ASPN,spatial_knn,0.00576124001007855,0.0112096447801215,-0.00544840477004295,0.0037178249774111,dlpfc
BCAS1,pca_ridge,0.3655030994566153,0.26105647394203735,0.10444662551457795,0.1807358343959106,dlpfc
BCAS1,spatial_knn,0.24414636349410382,0.20366312368837047,0.040483239805733345,0.1807358343959106,dlpfc
C1orf116,pca_ridge,-0.011349621277656319,-0.0058392706380308995,-0.005510350639625419,0.0025079643573057,dlpfc
C1orf116,spatial_knn,-0.00443152686785177,0.0071821533344956666,-0.011613680202347437,0.0025079643573057,dlpfc
CAPN9,pca_ridge,0.0014023466915140995,-0.0058919285314297,0.0072942752229438,-0.0002122448078642,dlpfc
CAPN9,spatial_knn,-0.0028890998285169504,-0.0023205968114383,-0.0005685030170786503,-0.0002122448078642,dlpfc
CARNS1,pca_ridge,0.4240480562697423,0.2985768478210465,0.1254712084486958,0.1886997185798093,dlpfc
CARNS1,spatial_knn,0.22865030968906525,0.16705002429907412,0.06160028538999113,0.1886997185798093,dlpfc
CEP55,pca_ridge,-0.0008962815126440003,-0.010898811723310033,0.010002530210666032,-0.0010672383672232,dlpfc
CEP55,spatial_knn,0.00223516170789247,0.0018737946241673667,0.0003613670837251035,-0.0010672383672232,dlpfc
CHI3L2,pca_ridge,0.02345213076544882,0.015321427554460998,0.008130703210987822,-0.0012122967287627,dlpfc
CHI3L2,spatial_knn,0.03040253715673507,0.008843147509718234,0.021559389647016834,-0.0012122967287627,dlpfc
CLCF1,pca_ridge,-0.00608058388362437,-0.004184161415483366,-0.0018964224681410043,0.0062363077102725,dlpfc
CLCF1,spatial_knn,0.0019084044143162396,-0.004987766080934833,0.006896170495251073,0.0062363077102725,dlpfc
CLDN11,pca_ridge,0.44475616954330066,0.32555983951097883,0.11919633003232183,0.2191943851515464,dlpfc
CLDN11,spatial_knn,0.2838064846247407,0.2213746816630587,0.062431802961681965,0.2191943851515464,dlpfc
CLDND1,pca_ridge,0.42185986369460754,0.3194542760992798,0.10240558759532775,0.2178415021442792,dlpfc
